Country Name,Country Code,Series Name,Series Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,2448714703.96617,2782192878.67204,3394084732.49543,3760443737.53797,4383315964.58718,4756361252.37923,5731485051.79069,7297600226.00536,7352131309.73341,7851192502.30917,8772950777.79176,9426912647.59111,10224897437.8648,10862943543.5419,9683867926.44282,10398861981.7583,11185104251.6943,12837307496.8821,12889555561.2299,13744653103.058,14915002436.069,15433852712.2963,16698786977.59,19876128485.7857,..
Niger,NER,GDP per capita (current US$),NY.GDP.PCAP.CD,205.417936120931,225.294391147438,265.225363452469,283.468281798296,318.643121918273,333.345078419447,387.168065883301,475.044955398162,461.131533961487,474.425692340831,510.75956176268,528.510104469655,552.103334363117,565.30989731175,485.662574175279,502.706475406446,521.804130023434,578.568035680892,561.691304349698,579.512495758236,608.722439593808,609.745147574878,638.336080897887,735.270255787226,..
Niger,NER,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.26813490213235,4.91847057594622,2.1706103837418,0.363801578722132,7.33186884258517,5.93104997350342,3.14272408386731,7.73141422777337,1.96260090694645,8.57816674262253,2.35775693603874,10.5489445763446,5.31513063394726,6.64213665495603,4.39264883207291,5.74089315058157,5.00536078615544,7.21141802762897,5.93985257123522,3.55064109436891,1.38359636198477,11.9000000000277,1.66763406484279,10.3000000007793,..
Niger,NER,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,4.00551428352678,2.62886597938136,-1.61440769175596,0.262543757292838,7.7974978178644,0.0404858299595074,0.0539592607581562,11.3051098827019,0.582906590801122,0.804073080882659,2.9423851401332,0.455089820359289,2.29723114955317,-0.930287259984466,-0.576090369833189,1.65388922387806,2.79637318871284,2.96760366004456,-2.48979265070855,2.8981937602627,3.8378680284051,4.22621791916392,3.70097316425834,9.07151997725013,..
Niger,NER,"Population, total",SP.POP.TOTL,11920647,12349144,12796984,13265836,13756192,14268581,14803610,15361915,15943675,16548835,17176283,17836769,18519898,19215909,19939498,20685753,21435446,22188069,22947757,23717613,24502140,25311973,26159867,27032412,..
Niger,NER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,16.2687225341797,16.2687206268311,16.2687225341797,16.2687225341797,16.2687225341797,16.2675724894628,16.2641887037781,16.2586706998252,16.2511180003032,16.2416301279116,16.2303066053496,16.2141284004355,16.2162595696064,16.2450424611665,16.3035606587493,16.3898280543236,16.5036987906896,16.6449011799221,16.813146499685,17.0081420003794,17.2295936666686,17.477207007512,17.7506873295237,18.0497398450803,..
Niger,NER,Population growth (annual %),SP.POP.GROW,3.50878624306039,3.53148102432579,3.5622769230714,3.59824904350361,3.62970414217364,3.65709371425878,3.68110827846052,3.70203244818704,3.71708044318123,3.72535077368531,3.72138303234104,3.77324639644684,3.75837207594511,3.6892808045974,3.69640590007582,3.67426137513091,3.56007044831691,3.45088050525461,3.36654855482346,3.29977391625444,3.25425239869281,3.25170642220024,3.29489175812772,3.28101480132484,..
Niger,NER,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),SI.POV.DDAY,..,..,..,..,83.8,..,82.9,..,..,..,68.8,..,..,60.3,..,..,..,59,..,..,60.5,..,..,..,..
Niger,NER,Gini index,SI.POV.GINI,..,..,..,..,44.4,..,37.3,..,..,..,31.5,..,..,34.3,..,..,..,37.3,..,..,32.9,..,..,..,..
Niger,NER,"School enrollment, primary (% gross)",SE.PRM.ENRR,35.0507202148438,39.0056304931641,42.1091117858887,46.0418281555176,47.7686805725098,48.2523002624512,50.5029983520508,54.2272987365723,57.9658889770508,61.5986113613618,65.2535100604653,67.1548957778323,68.050738334559,68.6922497937291,70.8931423850977,72.8476843361488,74.3787719289761,..,66.7727319163256,..,65.864245185741,66.2539719118599,66.8804779933272,64.6534815281519,..
Niger,NER,"School enrollment, secondary (% gross)",SE.SEC.ENRR,6.231369972229,6.28120994567871,6.86678981781006,8.35079956054688,9.26323986053467,10.6787004470825,10.3014001846313,10.6592998504639,11.1999397277832,12.8063202484136,13.6643213754076,14.8037867184503,15.9596510320284,17.8459505465436,19.6922012498743,22.6700395113082,23.7611505662509,..,..,..,..,..,21.5605140503495,19.8664761204349,..
Niger,NER,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,14.3800001144409,..,..,..,28.6700000762939,..,..,..,..,..,..,30.5599994659424,..,29.0437067944143,..,..,..,33.0499992370605,..,..,..,35.6100006103516,..,..,..
Niger,NER,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,217.4,205.9,194.1,182.4,171.4,161.6,153.1,146,140.3,136,132.7,130.3,128.3,126.8,125.4,124.3,123.1,121.9,120.8,119.5,118,116,113.5,110.7,..
Niger,NER,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,49.872,50.645,51.545,52.402,53.32,54.223,55.063,55.852,56.487,57.08,57.6,57.987,58.364,58.693,58.85,59.228,59.524,59.765,60.031,59.89,59.542,60.398,61.183,61.433,..
Niger,NER,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.72659349,4.82717037,4.74740648,4.97818327,5.87749624,5.99335575,5.43105888,5.24640608,5.33850145,4.96100473,4.87323856,4.30732679,4.46636009,4.45377159,5.34745932,4.53239059,5.57609606,5.30310822,5.66642094,6.17012262,5.81452751,4.34980488,4.04895782,..,..
Niger,NER,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,37.358813438708,38.1115370315666,38.8582098965165,39.5981949224788,40.3308901559153,41.0575024887785,41.7774242131502,42.4900876989759,43.1966321655043,43.8964824399921,44.5891012347432,45.2755729615711,45.9553436655962,46.6360032875155,47.3180912197977,48.0001316756614,48.6826437620777,49.364204791619,50.045306277114,50.7254664539795,51.4037852396431,52.0806785975452,52.7552521305404,53.4274656286176,..
Niger,NER,Access to electricity (% of population),EG.ELC.ACCS.ZS,8.4,8.8,9.3,9.7,7.1,9.3,11.2,11.8,12.3,13.6,14.3,14.4,15.2,15.7,16.6,17,17.6,17.6,18.5,18.7,18.6,19.5,20.1,..,..
Niger,NER,Individuals using the Internet (% of population),IT.NET.USER.ZS,0.10518543139701,0.127152468779619,0.155698703668983,0.189933733703092,0.221300006,0.294,0.390399992,0.7,0.76,0.829999983,0.9,1.049999952,1.149999976,1.24867568902241,2.476200104,4.322800159,10.2243115586561,10.74180031,11.28549957,11.85680008,12.45689964,13.08749962,12.98079967,15.55760002,..
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,73557840064.489,95054059302.6995,104738954264.226,135764731645.611,175670569969.346,238454997161.48,278260846800.103,339476276257.793,295008835380.997,366990417129.04,414466676831.16,463971018239.281,520117180313.906,574183763411.508,493026682800.63,404649125252.16,375745731053.427,421739251509.08,668219992691.462,598586817819.073,609147716972.859,646950257577.814,487387801880.597,252261880141.151,..
Nigeria,NGA,GDP per capita (current US$),NY.GDP.PCAP.CD,566.428231812933,712.164852077686,763.388745367223,962.48104194733,1211.37703504386,1599.53891556365,1815.52697545827,2154.10543545364,1820.48633854782,2202.25672957344,2418.41316975875,2633.19734671361,2872.79083379398,3088.72131316169,2585.73360671797,2070.4127339595,1876.34027111773,2057.87944554011,3189.81286498516,2797.18458068686,2787.48779224428,2899.16047470324,2138.76383719983,1084.16041805436,..
Nigeria,NGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.91768464920371,15.3291557409559,7.34719496799492,9.2505582291798,6.43851652538348,6.05942803202906,6.59113036068679,6.76447277780228,8.03692510099023,8.00565591628701,5.30792420289453,4.23006117493223,6.67133539306167,6.30971865525431,2.65269329543001,-1.61686894906509,0.805886619102438,1.92275734200614,2.20842927714892,-6.36889840510109,1.10925253938163,4.31882949523192,3.32684556421316,4.06236408888319,..
